,Users,Users,Changesets,Changesets,Edits,Edits,Users with > 1 day,Users with > 1 day,Changesets from users with > 1 day,Changesets from users with > 1 day,Editsfrom users with > 1 day,Editsfrom users with > 1 day,Users with >= 42 Days,Users with >= 42 Days,Changesets from users with >= 42 days,Changesets from users with >= 42 days,Edits from users with >= 42 days,Edits from users with >= 42 days
is_local,Non-Local,Local,Non-Local,Local,Non-Local,Local,Non-Local,Local,Non-Local,Local,Non-Local,Local,< 42 Days,">=42 Days
(""Active Contributors"")",< 42 Days,">=42 Days
(""Active Contributors"")",< 42 Days,">=42 Days
(""Active Contributors"")"
country,,,,,,,,,,,,,,,,,,
Haiti,379.0,184.0,5646.0,4433.0,640717.0,278213.0,347.0,41.0,5518.0,3478.0,628750.0,213181.0,357.0,206.0,3171.0,6908.0,236967.0,681963.0
Heard Island and McDonald Islands,9.0,,10.0,,833.0,,8.0,,9.0,,800.0,,1.0,8.0,1.0,9.0,33.0,800.0
Honduras,1032.0,618.0,13091.0,8158.0,1346873.0,575437.0,937.0,215.0,12846.0,5626.0,1331785.0,455554.0,1340.0,310.0,10394.0,10855.0,733344.0,1188966.0
Hungary,850.0,1544.0,12614.0,58974.0,1200706.0,3718538.0,745.0,728.0,12439.0,56900.0,1197998.0,3680164.0,1906.0,488.0,21437.0,50151.0,1007345.0,3911899.0
Iceland,201.0,124.0,1667.0,6248.0,81529.0,1494536.0,191.0,58.0,1653.0,6121.0,81224.0,1489694.0,212.0,113.0,1528.0,6387.0,84853.0,1491212.0
India,5619.0,22044.0,72398.0,702393.0,10848299.0,46601074.0,4242.0,6714.0,68183.0,626950.0,10489045.0,43660864.0,26303.0,1360.0,433899.0,340892.0,17751129.0,39698244.0
Indonesia,4538.0,18267.0,212153.0,602721.0,17044994.0,50588100.0,3532.0,5403.0,207144.0,521788.0,16590838.0,44843571.0,21690.0,1115.0,351745.0,463129.0,33412260.0,34220834.0
Iran,628.0,2768.0,13184.0,128007.0,982001.0,4040375.0,571.0,945.0,13093.0,122140.0,978371.0,3985561.0,2997.0,399.0,30333.0,110858.0,815227.0,4207149.0
Iraq,492.0,5752.0,10858.0,56214.0,1001979.0,1747359.0,418.0,2029.0,10679.0,50939.0,981945.0,1710690.0,5974.0,270.0,22665.0,44407.0,442116.0,2307222.0
Ireland,667.0,814.0,18057.0,59961.0,1106046.0,5458833.0,615.0,352.0,17916.0,58836.0,1102306.0,5429321.0,1054.0,427.0,11306.0,66712.0,519382.0,6045497.0
Isle of Man,80.0,23.0,227.0,598.0,16399.0,130602.0,79.0,3.0,225.0,533.0,16299.0,126962.0,42.0,61.0,156.0,669.0,6698.0,140303.0
Israel,627.0,985.0,3736.0,18370.0,132418.0,1446664.0,401.0,369.0,3405.0,17015.0,130288.0,1434985.0,1397.0,215.0,8824.0,13282.0,272731.0,1306351.0
Italy,3117.0,8140.0,42930.0,343482.0,2273450.0,25793833.0,2664.0,3898.0,42010.0,332161.0,2252958.0,25578961.0,9858.0,1399.0,116507.0,269905.0,4271218.0,23796065.0
Jamaica,2662.0,3998.0,31514.0,40259.0,5967045.0,2635003.0,2334.0,1294.0,30759.0,26771.0,5892088.0,1949907.0,6266.0,394.0,50507.0,21266.0,3784762.0,4817286.0
Japan,1329.0,3772.0,19442.0,200246.0,1909172.0,32773130.0,1216.0,1720.0,19253.0,191720.0,1884207.0,32341654.0,4512.0,589.0,61966.0,157722.0,5727570.0,28954732.0
Jersey,51.0,18.0,192.0,240.0,3832.0,17898.0,50.0,8.0,191.0,208.0,3828.0,17571.0,32.0,37.0,183.0,249.0,2798.0,18932.0
Jordan,395.0,280.0,4150.0,3628.0,221191.0,235946.0,333.0,101.0,4006.0,2769.0,215200.0,174030.0,485.0,190.0,4388.0,3390.0,263283.0,193854.0
Juan De Nova Island,8.0,,9.0,,278.0,,8.0,,9.0,,278.0,,1.0,7.0,1.0,8.0,1.0,277.0
Kazakhstan,653.0,572.0,17447.0,20137.0,1653797.0,1933017.0,609.0,211.0,17363.0,19324.0,1649556.0,1911723.0,825.0,400.0,6628.0,30956.0,548521.0,3038293.0
Kenya,2522.0,1502.0,28723.0,20849.0,5222740.0,3256607.0,2124.0,545.0,27496.0,16627.0,5078099.0,2848638.0,3342.0,682.0,25645.0,23927.0,3328218.0,5151129.0
Kiribati,22.0,2.0,78.0,10.0,7178.0,83.0,21.0,,76.0,,6986.0,,14.0,10.0,36.0,52.0,3104.0,4157.0
Kuwait,142.0,62.0,2311.0,242.0,224377.0,3865.0,134.0,14.0,2302.0,169.0,224365.0,3497.0,105.0,99.0,354.0,2199.0,8809.0,219433.0
Kyrgyzstan,931.0,294.0,6745.0,3442.0,811509.0,321315.0,769.0,91.0,6177.0,2568.0,767605.0,250002.0,999.0,226.0,5969.0,4218.0,549569.0,583255.0
Laos,1057.0,171.0,16996.0,2583.0,2646644.0,505423.0,884.0,52.0,16530.0,2366.0,2625568.0,498753.0,879.0,349.0,4139.0,15440.0,330476.0,2821591.0
Latvia,343.0,435.0,4253.0,15643.0,439979.0,1346479.0,328.0,202.0,4234.0,15174.0,439784.0,1339689.0,542.0,236.0,6976.0,12920.0,361900.0,1424558.0
Lebanon,554.0,265.0,10527.0,7249.0,1071944.0,373090.0,514.0,110.0,10450.0,6979.0,1068392.0,364124.0,501.0,318.0,3334.0,14442.0,417425.0,1027609.0
Lesotho,220.0,13.0,2729.0,1933.0,221635.0,642948.0,214.0,9.0,2720.0,1929.0,221375.0,642737.0,49.0,184.0,132.0,4530.0,7991.0,856592.0
Liberia,221.0,34.0,1475.0,1400.0,218468.0,503504.0,207.0,19.0,1301.0,1340.0,189259.0,471541.0,127.0,128.0,1875.0,1000.0,401537.0,320435.0
Libya,300.0,609.0,3909.0,26428.0,280360.0,746977.0,288.0,212.0,3895.0,25888.0,280161.0,743076.0,707.0,202.0,20005.0,10332.0,170044.0,857293.0
Liechtenstein,226.0,14.0,1781.0,58.0,74413.0,678.0,203.0,5.0,1743.0,48.0,74097.0,539.0,129.0,111.0,658.0,1181.0,34988.0,40103.0
Lithuania,394.0,413.0,4811.0,28168.0,1044147.0,3253179.0,363.0,176.0,4768.0,27595.0,1042730.0,3243896.0,561.0,246.0,16981.0,15998.0,361570.0,3935756.0
Luxembourg,545.0,219.0,7029.0,10783.0,223556.0,1633441.0,479.0,112.0,6911.0,10483.0,221008.0,1630372.0,466.0,298.0,4171.0,13641.0,77037.0,1779960.0
Madagascar,350.0,378.0,3763.0,31989.0,1266016.0,13391509.0,333.0,143.0,3735.0,31280.0,1263403.0,13314788.0,547.0,181.0,5061.0,30691.0,1435989.0,13221536.0
Malawi,1484.0,969.0,10272.0,21967.0,2767440.0,3322292.0,1269.0,380.0,9787.0,18851.0,2700514.0,2963257.0,2150.0,303.0,17482.0,14757.0,2459932.0,3629800.0
Malaysia,1077.0,1010.0,148821.0,94904.0,8564990.0,5510439.0,962.0,365.0,146507.0,92206.0,8526912.0,5418062.0,1395.0,692.0,41897.0,201828.0,1259700.0,12815729.0
Maldives,50.0,30.0,125.0,116.0,17302.0,1696.0,47.0,8.0,122.0,76.0,17196.0,1307.0,48.0,32.0,166.0,75.0,6058.0,12940.0
Mali,1808.0,680.0,29669.0,30344.0,5645935.0,4451270.0,1639.0,268.0,29219.0,28597.0,5599763.0,4343371.0,1930.0,558.0,17647.0,42366.0,2015784.0,8081421.0
Malta,116.0,64.0,656.0,1006.0,16077.0,44396.0,109.0,19.0,643.0,933.0,15826.0,43882.0,108.0,72.0,661.0,1001.0,16915.0,43558.0
Marshall Islands,23.0,2.0,98.0,5.0,10042.0,278.0,22.0,,95.0,,10034.0,,9.0,16.0,73.0,30.0,6777.0,3543.0
Martinique,101.0,20.0,724.0,250.0,53107.0,22467.0,98.0,6.0,721.0,231.0,53104.0,22334.0,41.0,80.0,290.0,684.0,22753.0,52821.0
Mauritania,600.0,77.0,3600.0,590.0,491353.0,22469.0,530.0,32.0,3365.0,480.0,477886.0,16668.0,480.0,197.0,2541.0,1649.0,211141.0,302681.0
Mauritius,91.0,56.0,574.0,850.0,33841.0,5798.0,84.0,12.0,549.0,740.0,31221.0,4295.0,88.0,59.0,1010.0,414.0,15599.0,24040.0
Mayotte,59.0,27.0,229.0,5804.0,2077.0,1128311.0,56.0,12.0,226.0,5604.0,2074.0,1093825.0,35.0,51.0,378.0,5655.0,37415.0,1092973.0
